Loja,data_compra,inicio,termino,Loja,codloja,produto,EAN,quantidade,valor_total,Imposto
430,2019-07-05 10:30:41,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 11:58:18,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 14:06:58,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 14:50:06,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 16:04:56,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,3,R$ 27.68,R$ 4.74
430,2019-07-05 16:09:36,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 16:26:21,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 16:33:10,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 16:39:39,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,4,R$ 36.90,R$ 6.33
430,2019-07-05 16:58:18,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,2,R$ 18.45,R$ 3.16
430,2019-07-05 17:39:45,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 17:46:05,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 17:56:38,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 17:59:21,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 18:03:01,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 18:03:40,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,3,R$ 27.68,R$ 4.74
430,2019-07-05 18:18:24,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 18:38:33,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 18:39:01,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,2,R$ 18.45,R$ 3.16
430,2019-07-05 18:43:37,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,2,R$ 18.45,R$ 3.16
430,2019-07-05 18:54:30,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 19:07:00,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,2,R$ 18.45,R$ 3.16
430,2019-07-05 19:07:12,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 19:17:32,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,2,R$ 18.45,R$ 3.16
430,2019-07-05 19:19:03,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 19:19:22,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,2,R$ 18.45,R$ 3.16
430,2019-07-05 19:25:38,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,1,R$ 9.23,R$ 1.58
430,2019-07-05 19:34:59,2019-07-05,2019-07-20,Mercadinho Daskina,49618556000135,Açaí 1L,3298491451501,2,R$ 18.45,R$ 3.16
